web_name,first_name,second_name,team,position,total_points,points_per_game,price,price_level,goals_scored,assists,ict_index,selected_by_percent,minutes,bonus,clean_sheets,clean_sheets_per_90,creativity,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,goals_conceded,goals_conceded_per_90,influence,own_goals,penalties_missed,penalties_order,penalties_saved,red_cards,saves,saves_per_90,selected_rank,starts,starts_per_90,threat,value_form,value_season,yellow_cards,goal_involvements
Xhaka,Granit,Xhaka,ARS,Midfielder,153.0,4.1,4.8,Budget,7.0,8.0,182.0,2.7,2992.0,15.0,13.0,0.39,673.3,3.89,0.12,8.54,0.26,4.65,36.52,1.1,0.14,35.0,1.05,647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,36.0,1.08,498.0,1.4,31.9,4.0,15.0
Elneny,Mohamed,Elneny,ARS,Midfielder,6.0,1.2,4.1,Budget,0.0,0.0,1.1,0.6,111.0,0.0,0.0,0.0,5.4,0.04,0.03,0.04,0.03,0.0,1.29,1.05,0.0,2.0,1.62,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,1.0,0.81,0.0,0.0,1.5,0.0,0.0
Holding,Rob,Holding,ARS,Defender,21.0,1.5,4.2,Budget,1.0,0.0,21.6,0.2,562.0,0.0,0.0,0.0,10.3,0.15,0.02,0.47,0.07,0.32,11.14,1.78,0.05,13.0,2.08,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,6.0,0.96,54.0,0.0,5.0,0.0,1.0
Partey,Thomas,Partey,ARS,Midfielder,86.0,2.6,4.7,Budget,3.0,0.0,119.5,0.4,2480.0,6.0,11.0,0.4,439.6,2.17,0.08,4.76,0.17,2.59,32.27,1.17,0.09,28.0,1.02,513.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,28.0,1.02,240.0,0.3,18.3,5.0,3.0
Ødegaard,Martin,Ødegaard,ARS,Midfielder,212.0,5.7,6.9,High,15.0,8.0,298.3,33.3,3132.0,30.0,13.0,0.37,1100.4,8.02,0.23,17.77,0.51,9.75,37.94,1.09,0.28,38.0,1.09,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.0,1.06,920.0,0.9,30.7,4.0,23.0
Tierney,Kieran,Tierney,ARS,Defender,37.0,1.4,4.6,Mid,0.0,1.0,29.9,0.8,774.0,0.0,1.0,0.12,85.5,0.43,0.05,0.81,0.09,0.38,10.9,1.27,0.04,10.0,1.16,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,6.0,0.7,67.0,0.2,8.0,0.0,1.0
Pépé,Nicolas,Pépé,ARS,Midfielder,0.0,0.0,5.3,Budget,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White,Benjamin,White,ARS,Defender,156.0,4.1,5.0,Mid,2.0,5.0,130.0,16.1,3054.0,12.0,15.0,0.44,491.2,3.6,0.11,4.85,0.15,1.25,37.23,1.1,0.04,35.0,1.03,649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,36.0,1.06,159.0,0.7,31.2,5.0,7.0
Nketiah,Eddie,Nketiah,ARS,Forward,63.0,2.1,6.3,Mid,4.0,2.0,93.1,1.8,1071.0,5.0,2.0,0.17,128.2,1.26,0.11,9.15,0.77,7.89,14.65,1.23,0.66,16.0,1.34,213.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,9.0,0.76,598.0,0.1,10.0,3.0,6.0
Smith Rowe,Emile,Smith Rowe,ARS,Midfielder,18.0,1.5,5.6,Mid,0.0,2.0,13.8,0.4,161.0,0.0,0.0,0.0,64.3,0.55,0.31,0.8,0.45,0.25,2.71,1.51,0.14,5.0,2.8,36.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,0.0,39.0,0.2,3.2,0.0,2.0
Saka,Bukayo,Saka,ARS,Midfielder,202.0,5.3,8.0,High,14.0,12.0,322.8,25.6,3183.0,19.0,12.0,0.34,1091.8,5.97,0.17,17.46,0.49,11.49,39.66,1.12,0.32,42.0,1.19,972.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,37.0,1.05,1164.0,0.4,25.2,6.0,26.0
Tomiyasu,Takehiro,Tomiyasu,ARS,Defender,32.0,1.5,4.2,Budget,0.0,1.0,27.7,0.5,651.0,0.0,2.0,0.28,86.6,0.23,0.03,0.47,0.06,0.24,8.93,1.23,0.03,11.0,1.52,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,6.0,0.83,55.0,0.0,7.6,2.0,1.0
Ramsdale,Aaron,Ramsdale,ARS,Goalkeeper,143.0,3.8,4.8,High,0.0,0.0,76.2,11.4,3420.0,9.0,14.0,0.37,0.0,0.02,0.0,0.02,0.0,0.0,42.31,1.11,0.0,43.0,1.13,761.4,0.0,0.0,0.0,0.0,0.0,94.0,2.47,40.0,38.0,1.0,0.0,1.0,29.8,1.0,0.0
